Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Others,dit ngaan geng,,跌眼鏡,,"Literally to have an O-shaped mouth (to drop glasses); To feel astonished and stunned, meaning 'oh my gosh'. The jaw drops and the shape of the mouth resembles the English letter, O",wikipedia:Hong_Kong_slanguage
phrase,Others,chyun zeoi,,串嘴,,To behave arrogantly and rudely,wikipedia:Hong_Kong_slanguage
phrase,Others,wat gei,,屈機,,Literally to break a machine into two pieces; an adjective describing someone who is tremendous and excellent,wikipedia:Hong_Kong_slanguage
phrase,Others,sing ne,,升呢,,To gain a higher level in video game or Promotion,wikipedia:Hong_Kong_slanguage
phrase,Others,baan haai,,扮蟹,,To behave pretentiously,wikipedia:Hong_Kong_slanguage
phrase,Others,pan faan,,噴飯,,"Literally meaning is ""spitting rice""; something makes you burst into laughter",wikipedia:Hong_Kong_slanguage
phrase,Others,dik hon,,滴汗,,Literally to sweat; to feel speechless and reticent,wikipedia:Hong_Kong_slanguage
phrase,Others,gwai cuk,,龜速,,Literally means turtle speed; extremely slow speed,wikipedia:Hong_Kong_slanguage
phrase,Others,cim seoi,,潛水,,Literally means underwater diving; to disappear or Lurker,wikipedia:Hong_Kong_slanguage
phrase,Others,laang hei gwan si,,冷氣軍師,,Literally means an adviser inside an air-conditioning room; Armchair expert or Keyboard warrior,wikipedia:Hong_Kong_slanguage
phrase,Others,zau sou,,走數,,Literally means to run away from one's debts; to chicken out or failing to keep promise,wikipedia:Hong_Kong_slanguage
phrase,Others,daa zim,,打尖,,Cutting in line,wikipedia:Hong_Kong_slanguage
phrase,Others,ceoi seoi,,吹水,,Literally to blow water; Chit-chatting,wikipedia:Hong_Kong_slanguage
phrase,Others,gaau cyun go party,,搞串個party,,Party pooping,wikipedia:Hong_Kong_slanguage
phrase,Others,lau daa,,摟打,,To make someone angry and provoke someone for fighting,wikipedia:Hong_Kong_slanguage
phrase,Others,liu gaau daa,,撩交打,,To make someone angry and provoke someone for fighting,wikipedia:Hong_Kong_slanguage
phrase,Others,diu jyu,,釣魚,,Literally to fish; To nod off / drift off / doze off,wikipedia:Hong_Kong_slanguage
phrase,Others,tip si,,貼士,,"Sound like the English word ""Tips""; 1). - Hints (Tips). 2). - Gratuity (Tip)",wikipedia:Hong_Kong_slanguage
phrase,Others,gei daai,,幾歹,,"As adverb, Whatever",wikipedia:Hong_Kong_slanguage
